badge,price,_id,category._ref,category._type,title,specifications.Material,specifications.WeightCapacity,specifications.AssemblyRequired,specifications.Dimensions,features,_updatedAt,image.asset._ref,image.asset._type,image._type,_rev,description,inventory,_type,priceWithoutDiscount,_createdAt,tags
null,40,AJVJVObFUPWewZSbi5viFm,407a8583-6203-4f61-becf-8e8b4c5461b6,reference,Fancy Single Chair,Molded fiberglass,200 lbs,No,34 x 22 x 21 inches,"[""Elegant details"",""Premium upholstery"",""Durable frame""]",2025-01-20T10:13:37Z,image-22a5f7809ad776adfbaa6a2b2b07df20d92c9814-1000x1000-jpg,reference,image,jGHNK2T7WRTGSZ6Crs5bdO,An elegant single chair with refined details and premium upholstery.,10,products,null,2025-01-19T12:00:55Z,undefined
null,45,aWt125CyehY2YfnCtzke1K,26fd7176-3c4d-40fc-a73a-3b85a9b5e15f,reference,Round Short-Leg Stool,Steel / Metal,220 lbs,Assembled,16 x 14 x 14 inches,"[""Lightweight"",""Minimalist design"",""Portable""]",2025-01-20T10:05:42Z,image-2ac1e785552da4c19bfb5cfdc814f6829c9b150e-1000x1000-jpg,reference,image,aWt125CyehY2YfnCu2aQBg,"A compact and versatile stool chair with short legs, perfect for casual seating areas.",10,products,50,2025-01-19T12:01:03Z,undefined
null,50,aWt125CyehY2YfnCu0pkiI,b5710116-09af-4d0e-aa9a-dcd02fe919a9,reference,Bold Accent Chair,Molded fiberglass,275 lbs,Assembled,34 x 22 x 20 inches,"[""Eye-catching color"",""Durable frame"",""Comfortable padding""]",2025-01-20T09:53:29Z,image-4cd62915914fb385550532c3d1f0c4d64c1f8cca-312x312-png,undefined,image,AJVJVObFUPWewZSbi70eUm,"A vibrant orange chair with a unique design, great for adding a pop of color.",20,products,null,2025-01-19T18:28:44Z,"[""featured"",""instagram"",""gallery""]"
Sales,75,aWt125CyehY2YfnCu0pl64,26fd7176-3c4d-40fc-a73a-3b85a9b5e15f,reference,Blush Velvet Chair,Velvet and metal,250 lbs,Assembled,30 x 25 x 22 inches,"[""Luxurious velvet"",""Tufted backrest"",""Stylish and modern""]",2025-01-20T09:48:25Z,image-af6865cccbcd12d2183f8090324d0e5c5732e57f-312x312-png,undefined,image,aWt125CyehY2YfnCu2XxiC,"A soft pink upholstered chair with tufted design, perfect for adding a chic touch.",20,products,85,2025-01-19T18:28:46Z,"[""featured"",""instagram""]"
null,70,aWt125CyehY2YfnCu0pmny,407a8583-6203-4f61-becf-8e8b4c5461b6,reference,Modern Comfort Chair,"Wood, Metal and fabric",280 lbs,Assembled,31 x 21 x 20 inches,"[""Plush cushion"",""Ergonomic design"",""Timeless black finish""]",2025-01-20T09:40:35Z,image-384113dbb404b90828b52ffca9c3ccca7a4f626b-312x312-png,undefined,image,AJVJVObFUPWewZSbi70EbO,"A black chair with a cozy cushion, combining style and comfort for any room.",20,products,null,2025-01-19T18:28:52Z,"[""instagram""]"
New,95,jGHNK2T7WRTGSZ6CrprL0A,null,null,Wooden Rocking Chair,Solid wood,350 lbs,Assembled,40 x 26 x 22 inches,"[""Smooth rocking motion"",""High-quality wood"",""Traditional craftsmanship""]",2025-01-20T10:09:19Z,image-c5f40d076aaef443a41407d4dc553f089a1577a1-1000x1000-jpg,reference,image,aWt125CyehY2YfnCu2amx0,A classic wooden rocking chair combining traditional craftsmanship with comfort.,20,products,110,2025-01-19T12:00:57Z,undefined
null,50,jGHNK2T7WRTGSZ6Crqgd6S,b5710116-09af-4d0e-aa9a-dcd02fe919a9,reference,Dual-Toned Office Chairs,Metal and fabric,250 lbs,Assembled,30 x 20 x 20 inches,"[""Dual-tone colors"",""Comfortable seating"",""Durable for daily use""]",2025-01-20T09:45:21Z,image-81a5b7de166f930870a82f8f3e661b38a70de9f4-312x312-png,undefined,image,aWt125CyehY2YfnCu2XYc4,"Stylish office chairs available in pink and black, adding a chic look to workspaces.",10,products,null,2025-01-19T18:28:48Z,"[""gallery""]"
New,40,jGHNK2T7WRTGSZ6Crqgdaw,407a8583-6203-4f61-becf-8e8b4c5461b6,reference,Vintage Library Chair,Solid wood,300 lbs,Assembled,32 x 20 x 18 inches,"[""High-quality wood"",""Comfortable design"",""Perfect for reading""]",2025-01-20T09:42:07Z,image-da30e4081507761b5b7558807735f8f17756c9c3-624x624-png,undefined,image,aWt125CyehY2YfnCu2XBQo,"A classic white chair with a vintage design, perfect for libraries or cozy corners.",10,products,null,2025-01-19T18:28:50Z,"[""featured"",""instagram"",""gallery""]"
null,120,jGHNK2T7WRTGSZ6CrqgeFa,407a8583-6203-4f61-becf-8e8b4c5461b6,reference,Industrial Dining Set,Wood 99.9% ,undefined,Assembled,Table: 40 x 30 x 28 inches - Stools: 18 x 18 x 16 inches,"[""Space-saving design"",""Durable frame"",""Modern industrial look""]",2025-01-20T09:36:48Z,image-f49ec164e3b62fbf8ad5d3b7cf0e5622478ee0ba-312x312-png,undefined,image,jGHNK2T7WRTGSZ6Crs2Ps6,"A compact dining set featuring a table and stools, with a modern industrial vibe.",20,products,null,2025-01-19T18:28:54Z,"[""gallery""]"
New,90,jGHNK2T7WRTGSZ6CrqgeiN,26fd7176-3c4d-40fc-a73a-3b85a9b5e15f,reference,Scandinavian Lounge Chair,Fabric and wood,270 lbs,Assembled,32 x 22 x 20 inches,"[""Soft fabric"",""Curved backrest"",""Inspired by Scandinavian design""]",2025-01-20T09:41:13Z,image-0625575b88f2a2479f9d194dca7322fa5b3fb29d-312x312-png,undefined,image,aWt125CyehY2YfnCu2X5vK,"A rounded beige chair with a cozy, modern Scandinavian design.",20,products,null,2025-01-19T18:28:56Z,"[""instagram""]"
